metric_key,metric_name,metric_family,value_kind,description,legacy_mapping_status,legacy_groups_covered,legacy_groups_partial,legacy_group_count_covered,legacy_group_count_partial,legacy_notes_summary
number_of_source_attribution_responses,Number of source-attribution responses,attribution,count,Count of normalized source-attribution answers from post-show audience survey.,covered_and_partial,Откуда пришли,Поступления на счет,1,1,"Legacy ""Откуда пришли"" block maps to base count metric; share should be derived later from counts."
number_of_certificates,Number of certificates,commerce,count,Certificate count,partial_only,,Поступления на счет; Сертификаты (продажи),0,2,"Main revenue concept is covered, but many legacy sub-lines are more detailed than the new model. | Certificate count/revenue are covered, but partner/channel decomposition is richer in legacy data."
number_of_free_certificates_and_tickets,Number of free certificates and tickets,commerce,count,Free certificates and free tickets issued.,created_from_legacy_action,,,0,0,Created from explicit legacy action in db_metric_group_coverage_v2.csv
number_of_orders,Number of orders,commerce,count,Order count,partial_only,,САЙТ; Сайт,0,2,"Core site metrics are covered, but legacy site block contains extra derived ratios. | Core site metrics are covered, but this block also contains legacy special slices."
number_of_tickets,Number of tickets,commerce,count,Ticket count,covered_and_partial,Всего билетов (выкуплено через сайт и все агрегаторы); билеты; билеты сд,Сайт,3,1,"Ticket count block fits directly. | Ticket total is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
costs_other_by_articles,Costs - Other (by articles),costs,currency,Other costs by accounting articles,no_legacy_mapping_found,,,0,0,
costs_salary_fixed,Costs - Salary fixed,costs,currency,Fixed salary costs,no_legacy_mapping_found,,,0,0,
costs_salary_variable,Costs - Salary variable,costs,currency,Variable salary costs,no_legacy_mapping_found,,,0,0,
cost_article_expense_rashody_fot_it_fot,Cost article - IT ФОТ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/IT ФОТ,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_fot_administrativnyy_personal_fot,Cost article - Административный персонал ФОТ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/Административный персонал ФОТ,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_fot_aktery_fot,Cost article - Актёры ФОТ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/Актёры ФОТ,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_prochie_rashody_amortizatsiya,Cost article - Амортизация,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Прочие расходы/Амортизация,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
